name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013
			LongTermEquityInvestment,"97,300,000","101,600,000","102,400,000","102,500,000","103,600,000","108,400,000","108,200,000","107,600,000","110,500,000","107,800,000","100,800,000","90,300,000","74,300,000","67,300,000","67,300,000","41,300,000","24,300,000",,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"700,000","800,000","900,000","900,000","900,000","900,000","1,100,000","1,100,000","1,100,000","1,200,000",,,,"1,300,000",,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,"700,000","800,000","900,000","900,000","900,000","900,000","1,100,000","1,100,000","1,100,000","1,200,000",,,,"1,300,000",,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"112,300,000","117,300,000","74,500,000","62,800,000","66,400,000","42,500,000","44,600,000","46,400,000","48,100,000","49,800,000",,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"112,300,000","117,300,000","74,500,000","62,800,000","66,400,000","42,500,000","44,600,000","46,400,000","48,100,000","49,800,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"7,100,000","7,800,000","8,400,000","9,100,000","9,400,000","10,000,000","10,800,000","12,000,000","12,900,000","12,900,000","2,200,000","2,100,000","2,400,000","2,200,000","2,400,000","2,700,000","2,900,000","3,200,000","3,400,000","3,700,000","10,100,000","8,400,000","8,300,000","8,000,000","7,100,000","5,300,000","4,300,000","3,300,000",,
TotalLiabilitiesNetMinorityInterest,"2,700,700,000","2,732,500,000","2,786,700,000","1,967,800,000","2,003,500,000","2,048,500,000","2,052,500,000","1,996,400,000","1,974,100,000","1,945,600,000","148,300,000","108,600,000","86,500,000","108,800,000","117,800,000","107,200,000","75,900,000","79,800,000","56,700,000","53,000,000","318,100,000","638,500,000","258,000,000","56,900,000","57,300,000","1,059,200,000","1,099,200,000","1,071,300,000","1,072,000,000","998,400,000"
	CurrentLiabilities,"143,800,000","170,900,000","168,700,000","127,000,000","94,300,000","125,000,000","132,300,000","157,800,000","145,800,000","176,100,000","126,400,000","94,100,000","64,900,000","102,400,000","111,800,000","101,700,000","70,400,000","74,400,000","50,700,000","48,900,000","313,600,000","634,200,000","252,900,000","55,800,000","56,200,000","1,058,200,000","1,098,200,000","99,000,000","115,800,000","164,500,000"
		PayablesAndAccruedExpenses,"118,500,000","140,700,000","142,600,000","106,500,000","79,100,000","105,100,000","117,700,000","147,600,000","140,300,000","167,200,000","119,800,000","89,500,000","62,100,000","95,600,000","106,300,000","98,000,000","68,600,000","67,400,000","45,600,000","46,800,000","312,500,000","630,100,000","247,300,000","53,600,000","54,400,000","66,700,000","77,800,000","79,400,000","109,300,000","163,500,000"
			Payables,"63,000,000","64,500,000","82,600,000","43,800,000","38,900,000","51,000,000","59,900,000","58,300,000","56,000,000","78,500,000","65,300,000","47,900,000","28,700,000","31,100,000","36,100,000","42,500,000","35,500,000","34,700,000","19,200,000","22,700,000","278,500,000","572,300,000","195,300,000","11,900,000","10,100,000","8,600,000","6,500,000","18,200,000","28,500,000","32,400,000"
				AccountsPayable,"35,600,000","26,900,000","49,400,000","21,500,000","20,300,000","30,000,000","40,100,000","36,400,000","37,900,000","30,600,000","17,700,000","26,400,000","12,100,000","15,300,000","12,800,000","18,000,000","14,800,000","12,200,000","7,600,000","8,200,000","11,200,000","28,800,000","41,500,000","6,500,000","7,100,000","8,600,000","6,500,000","18,200,000","24,100,000","32,400,000"
