name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
InterestExpense,"9,692,000","2,804,000","2,873,000","2,788,000","3,222,000",,"3,398,000","2,119,000","1,464,000","9,966,000","359,000","-476,000","-157,000","1,081,000","859,000","688,000","1,061,000","1,236,000","1,508,000","1,495,000","1,486,000","2,017,000","857,000","152,000","40,000","285,000","937,000","-241,000","-349,000","-204,000","-122,000","-191,000","-378,000","-400,000","-21,000","-220,000",,"-281,000","-94,000","-224,000"
NetInterestIncome,"-11,687,000","-2,804,000","-2,873,000","-2,788,000","-3,222,000","-3,225,000","-3,398,000","-2,119,000","-1,464,000","-9,966,000","-359,000","476,000","157,000","-1,081,000","-859,000","-688,000","-1,061,000","-1,236,000","-1,508,000","-1,495,000","-1,486,000","-2,017,000","-857,000","-152,000","-40,000","-285,000","-937,000","241,000","349,000","204,000","122,000","191,000","378,000","400,000","21,000","220,000","366,000","281,000","94,000","224,000"
EBIT,"345,345,000","56,567,000","86,472,000","143,127,000","63,748,000","66,190,000","70,004,000","56,975,000","67,228,000","101,812,000","120,533,000","84,047,000","91,118,000","85,860,000","98,831,000","92,705,000","105,256,000","98,610,000","265,284,000","70,480,000","91,511,000","79,052,000","74,641,000","72,516,000","52,826,000","74,758,000","70,093,000","68,271,000","65,321,000","68,911,000","65,665,000","66,145,000","62,324,000","69,525,000","61,249,000","109,279,000","104,065,000","99,966,000","84,057,000","84,579,000"
EBITDA,"472,403,000"
ReconciledCostOfRevenue,"609,643,000","113,948,000","121,845,000","132,575,000","241,275,000","238,779,000","192,751,000","134,704,000","116,804,000","77,351,000","74,863,000","66,476,000","-236,069,000","181,991,000","177,040,000","168,486,000","183,930,000","184,963,000","183,217,000","174,869,000","172,717,000","162,146,000","161,816,000","124,485,000","109,315,000","98,983,000","100,398,000","97,258,000","97,463,000","91,278,000","83,270,000","79,713,000","76,429,000","71,728,000","63,537,000","59,170,000","55,529,000","54,804,000","51,557,000","47,842,000"
ReconciledDepreciation,"127,058,000","32,559,000","31,720,000","31,485,000","31,294,000","29,737,000","29,353,000","30,678,000","38,189,000","39,743,000","37,316,000","37,579,000","34,212,000","36,225,000","35,582,000","34,145,000","32,761,000","32,466,000","31,127,000","30,405,000","29,453,000","29,182,000","25,349,000","23,227,000","22,924,000","21,850,000","21,470,000","17,912,000","14,617,000","14,091,000","14,403,000","11,211,000","10,713,000","10,198,000","9,955,000","8,957,000","8,268,000","7,174,000","7,003,000","6,775,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"285,513,000","38,415,000","75,545,000","122,004,000","26,392,000","48,321,000","43,969,000","168,840,000","26,253,000","38,154,000","35,871,000","29,032,000","60,264,000","30,414,000","42,180,000","26,860,000","30,509,000","23,502,000","-36,716,000","16,006,000","37,199,000","20,174,000","47,558,000","8,494,000","10,544,000","15,539,000","11,178,000","4,353,000","7,990,000","12,209,000","9,271,000","9,273,000","8,879,000","13,525,000","6,404,000","-278,000","-797,000","4,229,000","1,991,000","2,256,000"
TotalUnusualItemsExcludingGoodwill,"58,379,000",,,"64,110,000","-5,731,000","-5,195,000","-14,507,000","-1,919,000","-3,787,000","-13,906,000","30,222,000",,"-6,378,000","-303,000","0","0","-651,000","-5,000","-400,000","-1,320,000","134,000","-725,000","204,833,000","-1,518,000",,,,,"-15,243,000","-1,000,000",,,"522,000","37,850,000","0","4,000",,,"0","0"
TotalUnusualItems,"58,379,000",,,"64,110,000","-5,731,000","-5,195,000","-14,507,000","-1,919,000","-3,787,000","-13,906,000","30,222,000",,"-6,378,000","-303,000","0","0","-651,000","-5,000","-400,000","-1,320,000","134,000","-725,000","204,833,000","-1,518,000",,,,,"-15,243,000","-1,000,000",,,"522,000","37,850,000","0","4,000",,,"0","0"
NormalizedEBITDA,"414,024,000","89,126,000","118,192,000","110,502,000","100,773,000","101,122,000","113,864,000","89,572,000","109,204,000","155,461,000","127,627,000","121,626,000","131,708,000","122,388,000","134,413,000","126,850,000","138,668,000","131,081,000","296,811,000","102,205,000","120,830,000","108,959,000","-104,843,000","97,261,000","75,750,000","96,608,000","91,563,000","86,183,000","95,181,000","84,002,000","80,068,000","77,356,000","72,515,000","41,873,000","71,204,000","118,232,000","112,333,000","107,140,000","91,060,000","91,354,000"
TaxRateForCalcs,"0.15","0.273","0.076","0.136","0.27","0.21","0.27","0.27","0.204","0.05","0.27","0.12","0.117","0.13","0.02","0.12","0.016","0.15","0.4","0.17","0.4","0.08","0.37","0.287","0.144","0.117","0.172","0.267","0.4","0.027","0.061","0.082","0.046","0.085","0.217","0.008","0.035","0.012","0.025","0.029"
TaxEffectOfUnusualItems,"8,779,059.57","0","0","8,718,960","-1,547,370","-1,090,950","-3,916,890","-518,130","-773,717.415","-695,300","8,159,940","0","-743,253.291","-39,390","0","0","-10,651.686","-750","-160,000","-224,400","53,600","-58,000","75,788,210","-435,666","0","0","0","0","-6,097,200","-27,000","0","0","24,262.393","3,217,250","0","32","0","0","0","0"
