name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010
			CommonStockIssuance,"0","0","0","0","0","46,928,000","0","0","0","63,027,000","0","0","0","0","0","0","0","21,478,000","0","0","0","162,494,000",,,"0","0","0","0","0","176,558,000","0","0","0","554,129,000","296,756,000","0","0","356,579,000",,,,"0",,,,,,
			CommonStockPayments,"0","0","0","0","0","-46,928,000","0","0","0","-63,027,000","0","0","0","0","0","0","0","-21,478,000","0","0","0","-162,494,000",,,"0","0",,"0",,,"0","0","0","0","0","0","0","-76,319,000",,,,"0",,,,,,
		NetPreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-176,558,000","0","0","0","-554,129,000",,,,,,,,,,,,,,
			PreferredStockPayments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-176,558,000","0","0","0","-554,129,000",,,,,,,,,,,,,,
		CashDividendsPaid,"-403,516,000","-128,764,000","-96,569,000","-91,019,000","-87,164,000","-93,177,000","-77,475,000","-62,322,000","-59,499,000","-89,515,000","-61,558,000","-55,741,000","-56,764,000","-108,957,000","-57,606,000","-55,227,000","-65,493,000","-92,888,000","-64,233,000","-57,223,000","-68,167,000","-57,202,000","-63,682,000","-58,250,000","-68,409,000","-58,919,000","-70,699,000","-62,157,000","-78,089,000","-95,178,000","-72,038,000","-64,269,000","-90,552,000","-139,783,000","-73,185,000","-52,115,000","-13,577,000","-100,530,000","-7,956,000",,,"-11,660,000","1,000",,,,,
			CommonStockDividendPaid,,,,,,,"-77,475,000","-62,322,000","-59,499,000","-89,515,000","-61,558,000","-55,741,000","-56,764,000","-108,957,000","-57,606,000","-55,227,000","-65,493,000","-92,888,000","-64,233,000","-57,223,000","-68,167,000","-57,202,000","-63,682,000","-58,250,000","-68,409,000","-58,919,000","-70,699,000","-62,157,000","-78,089,000","-95,178,000","-72,038,000","-64,269,000","-90,552,000","-139,783,000","-73,185,000","-52,115,000","-13,577,000","-100,530,000","-7,956,000",,,"-11,660,000","1,000",,,,,
		NetOtherFinancingCharges,"-11,164,000","-3,431,000","13,331,000","-3,936,000","-17,128,000","40,229,000","23,502,000","2,915,000","-19,052,000","-788,000","1,513,000","-6,222,000","-18,242,000","-596,000","5,689,000","4,041,000","-14,839,000","12,840,000","45,925,000","-6,603,000","-10,328,000","-1,030,000","-6,732,000","-428,000","-20,953,000","-334,000","315,000","-20,891,000","11,000","683,000","-49,301,000","-5,234,000","294,000","1,028,000","-1,019,000","-16,000","85,000","-131,000","-260,000","28,569,000","-31,652,000","4,177,000","-19,420,000","82,402,675","-18,336,691","-37,946,984","-15,193,282","-12,988,536"
EndCashPosition,"203,670,000","203,670,000","200,771,000","290,464,000","241,822,000","281,726,000","199,450,000","230,942,000","196,284,000","178,024,000","144,255,000","173,926,000","159,347,000","154,998,000","175,535,000","227,603,000","237,612,000","246,243,000","137,286,000","202,636,000","190,258,000","222,182,000","156,777,000","212,609,000","197,789,000","217,916,000","166,193,000","217,671,000","215,464,000","215,109,000","182,284,000","227,975,000","203,576,000","208,371,000","211,839,000","275,927,000","257,404,000","199,103,000","141,159,000","156,032,000","172,084,000","163,966,000","126,956,000","142,302,000","141,793,976","130,946,108","158,898,010","143,026,915"
	ChangesInCash,"-78,056,000","2,899,000","-89,693,000","48,642,000","-39,904,000","117,099,000","-31,492,000","34,658,000","18,260,000","33,769,000","-29,671,000","14,579,000","4,349,000","-20,537,000","-52,068,000","29,750,000","-8,631,000","86,447,000","-65,350,000","12,378,000","-31,924,000","65,405,000","-55,832,000","14,820,000","-20,127,000","51,723,000","-51,478,000","2,207,000","355,000","32,825,000","-45,691,000","24,399,000","-4,795,000","-3,468,000","-64,088,000","18,523,000","58,301,000","57,944,000","-14,873,000","-16,052,000","8,118,000","37,010,000","-15,346,000","508,480","10,847,868","-28,041,348","15,871,095","41,183,093"
	BeginningCashPosition,"281,726,000","200,771,000","290,464,000","241,822,000","281,726,000","199,450,000","230,942,000","196,284,000","178,024,000","144,255,000","173,926,000","159,347,000","154,998,000","175,535,000","227,603,000","237,612,000","246,243,000","159,796,000","202,636,000","190,258,000","222,182,000","156,777,000","212,609,000","197,789,000","217,916,000","166,193,000","217,671,000","215,464,000","215,109,000","182,284,000","227,975,000","203,576,000","208,371,000","211,839,000","275,927,000","257,404,000","199,103,000","141,159,000","156,032,000","172,084,000","163,966,000","126,956,000","142,302,000","141,793,976","130,946,108","158,987,456","143,026,915","101,843,822"
	OtherCashAdjustmentOutsideChangeinCash,"0","0","0","0","0","-34,823,000",,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269,000",,,,"896,000",,,,,
InterestPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"646,000","1,918,000",,,"3,957,000",,,"6,301,531",,"5,936,389"
CapitalExpenditure,"-8,222,000","-3,977,000","-838,000","-1,064,000","-2,343,000","-1,722,000","-1,357,000","-582,000","-362,000","-798,000","-1,124,000","-2,394,000","-9,428,000","-4,838,000","-4,976,000","-6,102,000","-1,934,000","-829,000","-1,486,000","-2,058,000","-800,000","-1,491,000","-705,000","-2,700,000","-3,160,000","-711,000","-3,704,000","-859,000","-1,383,000","-1,389,000","-1,757,000","-3,492,000","-2,431,000","-1,939,000","-1,225,000","-594,000","-718,000","-654,000","-2,955,000","-814,000","-532,000","-1,164,000","-1,614,000","-328,187","-637,573","-156,240","-292,823","-252,163"
IssuanceOfCapitalStock,"0","0","0","0","0","46,928,000","0","0","0","63,027,000","0","0","0","0","0","0","0","21,478,000","0","0","0","162,494,000",,,"0","0","0","0","0","176,558,000","0","0","0","554,129,000","296,756,000","0","0","356,579,000",,,,"0",,,,,,
IssuanceOfDebt,,,,,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,"0",,,,"0",,,,"0",,,,,
RepaymentOfDebt,,,,,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,"0","0","0","0","0","0","0","-90,000,000","0","-289,372,000","-9,553,000","-25,864,000","-9,553,000","-25,658,000","-9,872,568","-10,127,432","123,731","-123,731"
RepurchaseOfCapitalStock,"0","0","0","0","0","-46,928,000","0","0","0","-63,027,000","0","0","0","0","0","0","0","-21,478,000","0","0","0","-162,494,000",,,"0","0","0","0","0","-176,558,000","0","0","0","-554,129,000","-296,755,000","0","0","-76,319,000",,,,"0",,,,,,
