name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
		PayablesAndAccruedExpenses,"6,153,000","7,187,000","4,883,000","6,053,000","6,253,000","5,946,000","4,259,000","3,254,000","3,877,000","4,616,397","3,442,966","6,278,447","5,028,205","4,401,321","5,755,543","4,970,624","4,968,072","4,068,366","2,935,655","3,676,290","2,955,727","2,741,722","2,432,178","2,758,643","2,951,826","2,706,877","2,244,047","2,133,332","1,721,244","1,965,957","2,320,148","1,386,582","972,890","630,395","665,138","855,502","492,859","1,917,219","1,916,475","1,563,213","1,539,362","1,631,972","1,816,782","1,415,768","1,037,858","64,627","66,727","29,645","13,357","27,978","8,802","8,494","59,201","51,542","40,920","6,023","6,610","16,563","1,225","32,802","30,563","37,649","34,133"
			Payables,"3,521,000","3,443,000","1,443,000","981,000","1,572,000","1,116,000","1,114,000","1,019,000","1,446,000","1,997,820","1,646,780","2,220,853","3,330,245","2,574,840","3,853,193","3,049,808","3,318,679","2,080,691","1,627,971","2,268,652","1,728,605","1,340,156","1,381,711","1,567,424","1,729,129","1,283,346","1,238,819","984,664","1,413,564","884,412","486,300","727,656","272,822","54,665","509,913","515,909","264,411","1,410,650","1,362,063","1,122,227","1,229,495","1,064,892","1,274,337","1,225,380","775,501","49,803","55,450","20,847","6,904","23,693","6,180","7,536",,,,,,"16,563","1,225","32,802","30,563","37,649","34,133"
				AccountsPayable,"1,512,000","2,173,000","1,443,000","981,000","1,572,000","1,116,000","1,114,000","1,019,000","1,446,000","1,997,820","1,646,780","2,220,853","3,330,245","2,574,840","3,853,193","3,049,808","3,318,679","2,080,691","1,627,971","2,268,652","1,728,605","1,340,156","1,381,711","1,567,424","1,729,129","1,283,346","1,238,819","984,664","1,413,564","884,412","486,300","727,656","272,822","54,665","509,913","422,548","212,328","1,410,650","1,308,138","1,120,398","1,189,067","1,064,892","1,221,746","1,209,149","775,501","49,803","55,450","20,847","6,904","23,693","6,180","7,536",,,,,,"400","1,225","32,702","30,463","30,524","29,033"
				TotalTaxPayable,"2,009,000","1,270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,361","52,083",,,,,,,,,,,,,,,,,,,,,,,,,,
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","15,411","9,739","4,130",,"53,925","1,829","40,428","0","52,591","16,231",,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","15,411","9,739","4,130","0","53,925","1,829","40,428",,"52,591","16,231","0",,,,,,,,,,,,,"16,163",,"100","100","7,125","5,100"
			CurrentAccruedExpenses,"2,632,000","3,744,000","3,440,000","5,072,000","4,681,000","4,830,000","3,145,000","2,235,000","2,431,000","2,618,577","1,796,186","4,057,594","1,697,960","1,826,481","1,902,350","1,920,816","1,649,393","1,987,675","1,307,684","1,407,638","1,227,122","1,401,566","1,050,467","1,191,219","1,222,697","1,423,531","1,005,228","1,148,668","307,680","1,081,545","1,833,848","658,926","700,068","575,730","155,225","339,593","228,448","506,569","554,412","440,986","309,867","567,080","542,445","190,388","262,357","14,824","11,277","8,798","6,453","4,285","2,622","958",,,,,,,,,,,
				InterestPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","15,411","9,739","4,130","3,567",,,,"21,502",,,"6,477","14,824","11,277","8,798","6,453","4,285","2,622","958",,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"187,000","217,000","223,000","212,000","274,000","339,000","423,000","487,000","199,000","358,610","196,274",,,,,,,"0","38,793","90,101","149,365","199,657","227,553","225,117","218,834","220,661","339,844","286,418","229,477","212,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
