name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,"54,000",,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,"2,220,000","3,684,000","3,499,000","3,318,000","2,964,000","1,182,000","507,000","1,656,000","1,049,000","912,000","3,600,000","1,196,000","531,000","332,000","1,106,000","534,000","340,000","341,000","307,000","-169,000","875,000","767,000","844,000","526,000","173,000","338,000"
		ProvisionandWriteOffofAssets,"14,539,000","3,109,000","3,038,000","3,103,000","5,289,000","4,601,000","5,461,000",,,,,,,,,,,,,"1,196,000",,,,,,,,,,,,,,
		StockBasedCompensation,"168,830,000","49,271,000","49,863,000","42,256,000","27,440,000","20,351,000","17,450,000","17,128,000","16,725,000","13,811,000","13,339,000","12,137,000","10,837,000","8,082,000","14,244,000","8,916,000","8,617,000","6,454,000","5,991,000","7,521,000","8,162,000","4,885,000","4,311,000","4,085,000","4,268,000","3,237,000","1,124,000","2,923,000","2,820,000","3,974,000","4,042,000","2,747,000","2,085,000","1,176,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"-1,626,000","-1,063,000","488,000","-1,034,000","-1,472,000","-1,090,000","1,090,000","-2,472,000","-4,161,000","-716,000","0","0"
		OtherNonCashItems,"8,842,000","3,321,000","1,366,000","2,717,000","1,438,000","1,455,000","12,009,000","10,686,000","9,771,000","9,100,000","7,096,000","3,522,000","3,386,000","2,928,000","2,384,000","3,000,000","2,769,000","1,119,000","-3,294,000","2,520,000","2,302,000","2,478,000","2,184,000","3,446,000","1,018,000","-213,000","45,000","49,000","42,000","3,231,000","28,000","31,000",,
		ChangeInWorkingCapital,"-39,728,000","-90,936,000","66,877,000","-8,931,000","-6,738,000","-27,325,000","52,666,000","32,811,000","68,664,000","-29,944,000","20,691,000","3,906,000","7,539,000","-22,142,000","51,023,000","-5,997,000","13,908,000","412,000","27,474,000","-19,424,000","-1,122,000","-8,172,000","4,085,000","-3,174,000","6,909,000","-8,333,000","996,000","-366,000","61,992,000","-53,301,000","-1,418,000","3,311,000","-2,073,000","443,000"
			ChangeInReceivables,,,,,,,,,,,,,,,"66,680,000","-21,679,000","-2,494,000","-1,856,000","-5,962,000","-12,913,000","-170,000","-3,258,000","-2,593,000","-13,014,000","1,619,000","-5,114,000","-7,087,000","-7,882,000","1,070,000","-1,865,000","-4,363,000","-7,023,000","2,563,000","-1,349,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,,"66,680,000","-21,679,000","-2,494,000","-1,856,000","-5,962,000","-12,913,000","-170,000","-3,258,000","-2,593,000","-13,014,000","1,619,000","-5,114,000","-7,087,000","-7,882,000","1,070,000","-1,865,000","-4,363,000","-7,023,000","2,563,000","-1,349,000"
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,"-5,940,000","-1,390,000","5,006,000","-2,461,000","-3,766,000","12,509,000","-8,787,000","-4,385,000","-6,596,000","-43,000","-19,000","472,000","-801,000","-838,000","-1,727,000","3,100,000","-4,108,000","-355,000","996,000","-2,353,000"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,"-14,489,000","15,881,000","9,145,000","2,470,000","7,959,000","5,480,000","7,369,000","-1,287,000","10,284,000","9,120,000","3,847,000","-4,733,000","7,249,000","13,010,000","2,427,000","5,462,000","6,874,000","5,957,000","-393,000","3,951,000"
				ChangeInPayable,,,,,,,,,,,,,,,"-29,390,000","13,678,000","8,720,000","-3,080,000","4,686,000","9,474,000","1,207,000","947,000","-1,375,000","10,874,000","-8,260,000","6,086,000","12,573,000","3,524,000","-1,837,000","1,493,000","1,789,000","8,203,000","-5,536,000","470,000"
					ChangeInAccountPayable,,,,,,,,,,,,,,,"-29,390,000","13,678,000","8,720,000","-3,080,000","4,686,000","9,474,000","1,207,000","947,000","-1,375,000","10,874,000","-8,260,000","6,086,000","12,573,000","3,524,000","-1,837,000","1,493,000","1,789,000","8,203,000","-5,536,000","470,000"
				ChangeInAccruedExpense,,,,,,,,,,,,,,,"14,901,000","2,203,000","425,000","5,550,000","3,273,000","-3,994,000","6,162,000","-2,234,000","11,659,000","-1,754,000","12,107,000","-10,819,000","-5,324,000","9,486,000","4,264,000","3,969,000","5,085,000","-2,246,000","5,143,000","3,481,000"
			ChangeInOtherCurrentAssets,"19,096,000","33,906,000","28,006,000","-63,520,000","20,704,000","-10,349,000","76,947,000","-25,150,000","-45,112,000","-1,869,000","24,337,000","28,955,000","-1,962,000","-47,285,000","11,000","0","25,000","7,000","20,000","6,000","-26,000","-28,000","2,000","-157,000","733,000","-140,000","73,000","233,000","-263,000","182,000","185,000","3,246,000","-4,831,000","-46,000"
