name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,"116,226","54,914","146,854","77,937","24,097","331,111","1,476,677","1,946,951","1,873,124","511,242","1,431,180","1,111,471","444,265","384,776","353,642","330,086","4,608,569","2,402,465","376,537","351,350","319,129",,,,,"211,640",,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","1,431,180","1,111,471","444,265","384,776",,"330,086","4,608,569","2,402,465","376,537","351,350","319,129","0","0","0","0",,"0","0","0","0","0","0","0","2,523","5,500","5,500","5,500","5,500","5,000"
			CurrentAccruedExpenses,"9,945,712","14,752,827","7,412,243","5,195,889","5,922,315","5,995,302","4,295,753","3,018,415","3,387,921","3,105,184","3,996,365","4,047,550","3,900,388","3,946,386","2,060,811","2,061,308","1,757,392","1,126,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InterestPayable,"293,333","232,222","1,666,667",,,"1,711,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentProvisions,,,"5,988,711","4,866,213","5,255,043","5,400,000","3,565,942","4,079,769","5,302,770","6,001,864","6,506,971","6,573,560",,"7,058,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"975,466","363,714","155,508,750",,,"1,411,000","122,679,279","95,957,111","20,160,000","19,620,000","6,354,140","5,854,140","5,444,840","1,340,700","4,777,916","6,682,264","5,637,996","381,497","61,484","30,493","80,003","79,521","50,000","50,000","50,000","16,306,926","3,542,500","3,223,375","2,965,280","1,278,904","37,548","38,645","248,542","338,225","392,542","392,355","377,171","230,756","1,923,930","1,407,503","847,431","20,641","6,413","6,332","6,252","6,179","6,598","150,000","150,000","60,000",,,,,
			CurrentDebt,,,"155,508,750",,,"1,411,000","122,679,279","95,957,111","20,160,000","19,620,000","6,354,140","5,854,140","4,104,140","1,340,700","4,777,916","6,682,264","5,637,996","381,497","61,484","30,493","80,003","79,521","50,000","50,000","50,000","16,306,926","3,542,500","3,223,375","2,965,280","1,278,904","37,548","38,645","248,542","338,225","392,542","392,355","377,171","230,756","1,923,930","1,407,503","847,431","20,641","6,413","6,332","6,252","6,179","6,598","150,000","150,000","60,000",,,,,
				CurrentNotesPayable,,"0",,"0","0","1,411,000",,,,,,,,"0",,,"5,256,250",,,,,"0","0","0","0","13,534,426","780,000","460,000","200,000","1,243,000",,"0",,,,,,,,,,,,,,"0","0","150,000","150,000","60,000",,,,,
				LineOfCredit,,,,,,,,,,,,"5,854,140","4,104,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,,"155,508,750",,,,"122,679,279","95,957,111","20,160,000","19,620,000","6,354,140","5,854,140",,"1,340,700","4,777,916","6,682,264","381,746",,,,,"79,521","50,000","50,000","50,000","2,772,500","2,762,500","2,763,375","2,765,280","35,904",,"38,645",,,,,,,,,,,,,,"6,179","6,598","0","0","0",,,,,
